Smiles,MP
c1ccc(-c2ccccc2-c2cccc(-c3cccc(-c4ccccc4-c4ccccc4)c3)c2)cc1,151.8
c1ccc(-c2ccc(-c3ccc(-c4cccc(-c5ccc(-c6ccccc6)cc5)c4)cc3)cc2)cc1,299.8
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3cc(-c4c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)cc(-c4c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,300.2
c1ccc(-c2ccc(-c3cccc(-c4cccc(-c5ccccc5)c4)c3)cc2)cc1,155.2
c1ccc(-c2cccc(-c3cccc(-c4ccccc4-c4ccccc4)c3)c2)cc1,113.5
c1ccc(-c2ccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cc3)cc2)cc1,190.0
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,321.3
c1ccc(-c2ccc(-c3cc(-c4ccccc4)cc(-c4ccccc4)c3)cc2)cc1,128.2
c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)cc3)c2)cc1,190.3
c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1,305.6
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,506.5
c1ccc(-c2cc(-c3ccccc3)c(-c3c(-c4ccccc4)cc(-c4ccccc4)cc3-c3ccccc3)c(-c3ccccc3)c2)cc1,354.6
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccccc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,491.0
c1ccc(-c2ccc(-c3cccc4cccc(-c5ccc(-c6ccccc6)cc5)c34)cc2)cc1,203.1
c1ccc(-c2ccccc2-c2cc3ccccc3c3ccccc23)cc1,75.8
c1ccc(-c2ccc(-c3cccc(-c4cccc(-c5ccc(-c6ccccc6)cc5)c4)c3)cc2)cc1,254.2
c1ccc(-c2ccc(-c3cc4ccccc4c4ccccc34)cc2)cc1,211.8
c1ccc(-c2ccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)cc2)cc1,105.5
c1ccc(-c2cccc(-c3cccc(-c4ccccc4-c4cccc(-c5ccccc5)c4)c3)c2)cc1,59.0
c1ccc(-c2cccc(-c3ccc(-c4ccccc4-c4cccc(-c5ccccc5)c4)cc3)c2)cc1,129.0
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9ccccc9)c8)c7)c6)c5)c4)c3)c2)cc1,187.0
c1ccc(-c2cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,408.5
c1ccc(-c2cc(-c3ccccc3-c3ccccc3-c3cc(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,237.5
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc(-c4c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,465.8
c1ccc(-c2cc(-c3ccccc3)cc(-c3cc(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4)cc(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4)c3)c2)cc1,273.0
c1ccc(-c2ccc(-c3c4ccccc4c(-c4ccccc4)c4c(-c5ccc(-c6ccccc6)cc5)c5ccccc5c(-c5ccccc5)c34)cc2)cc1,317.0
c1ccc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccccc3-c3ccccc3)cc2)cc1,154.9
c1ccc(-c2ccc(-c3c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,286.5
c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)cc(-c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)c4)cc3)cc2)cc1,281.7
c1ccc(-c2ccc(-c3ccc4c(ccc5ccccc54)c3)cc2)cc1,298.7
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10ccccc%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,184.0
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10cccc(-c%11ccccc%11)c%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,202.0
c1ccc(-c2ccc(-c3cccc(-c4ccccc4-c4ccccc4)c3)cc2)cc1,145.0
c1ccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)cc1,127.5
c1ccc(-c2ccc(-c3ccc(-c4ccccc4-c4ccccc4)cc3)cc2)cc1,186.9
c1ccc(-c2ccc(-c3ccccc3)c(-c3cc(-c4ccccc4)ccc3-c3ccccc3)c2)cc1,194.5
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7ccccc7)c6)c5)c4)c3)c2)cc1,97.8
c1ccc(-c2cccc(-c3ccccc3)c2-c2c(-c3ccccc3)cccc2-c2ccccc2)cc1,396.0
